year,cuenta,entidad,cop,entity_code,sector_code
2013,FUNCIONAMIENTO,CONGRESO DE LA REPÚBLICA,383435000000.0,0101,01
2013,INVERSION,CONGRESO DE LA REPÚBLICA,71142317260.0,0101,01
2013,FUNCIONAMIENTO,PRESIDENCIA DE LA REPÚBLICA,153380609752.0,0201,02
2013,INVERSION,PRESIDENCIA DE LA REPÚBLICA,105666752705.0,0201,02
2013,FUNCIONAMIENTO,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",23052000000.0,0209,02
2013,INVERSION,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",50153000000.0,0209,02
2013,FUNCIONAMIENTO,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,30449000000.0,0211,02
2013,INVERSION,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,2392812678.0,0211,02
2013,FUNCIONAMIENTO,AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN - ARN,152256000000.0,0212,02
2013,INVERSION,AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN - ARN,4290000000.0,0212,02
2013,FUNCIONAMIENTO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE PLANEACIÓN,80672065183.0,0301,03
2013,INVERSION,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE PLANEACIÓN,355962638202.0,0301,03
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL - AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA - COLOMBIA COMPRA EFICIENTE,8831000000.0,0303,03
2013,INVERSION,UNIDAD ADMINISTRATIVA ESPECIAL - AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA - COLOMBIA COMPRA EFICIENTE,15500000000.0,0303,03
2013,FUNCIONAMIENTO,SUPERINTENDENCIA DE SERVICIOS PÚBLICOS DOMICILIARIOS,61151162000.0,0324,03
2013,INVERSION,SUPERINTENDENCIA DE SERVICIOS PÚBLICOS DOMICILIARIOS,24814400000.0,0324,03
2013,FUNCIONAMIENTO,FONDO NACIONAL DE REGALÍAS EN LIQUIDACIÓN,3342000000.0,0325,03
2013,INVERSION,FONDO NACIONAL DE REGALÍAS EN LIQUIDACIÓN,408265000000.0,0325,03
2013,FUNCIONAMIENTO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),73805588071.0,0401,04
2013,INVERSION,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),113181260052.0,0401,04
2013,FUNCIONAMIENTO,FONDO ROTATORIO DEL DANE,1873400000.0,0402,04
2013,INVERSION,FONDO ROTATORIO DEL DANE,9500000000.0,0402,04
2013,FUNCIONAMIENTO,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI - IGAC,80240000000.0,0403,04
2013,INVERSION,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI - IGAC,145396846425.0,0403,04
2013,FUNCIONAMIENTO,DEPARTAMENTO ADMINISTRATIVO DE LA FUNCIÓN PÚBLICA,13632550000.0,0501,05
