year,cuenta,entidad,cop,entity_code,sector_code,indice,cop_def
2013,FUNCIONAMIENTO,CONGRESO DE LA REPÚBLICA,383435000000.0,101,1,78.05,491268417680.97375
2013,INVERSION,CONGRESO DE LA REPÚBLICA,71142317260.0,101,1,78.05,91149669775.78476
2013,FUNCIONAMIENTO,PRESIDENCIA DE LA REPÚBLICA,153380609752.0,201,2,78.05,196515835684.81744
2013,INVERSION,PRESIDENCIA DE LA REPÚBLICA,105666752705.0,201,2,78.05,135383411537.47598
2013,FUNCIONAMIENTO,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",23052000000.0,209,2,78.05,29534913516.9763
2013,INVERSION,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",50153000000.0,209,2,78.05,64257527226.13709
2013,FUNCIONAMIENTO,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,30449000000.0,211,2,78.05,39012171684.81743
2013,INVERSION,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,2392812678.0,211,2,78.05,3065743341.44779
2013,FUNCIONAMIENTO,AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN - ARN,152256000000.0,212,2,78.05,195074951953.87573
2013,INVERSION,AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN - ARN,4290000000.0,212,2,78.05,5496476617.552851
2013,FUNCIONAMIENTO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE PLANEACIÓN,80672065183.0,301,3,78.05,103359468524.02307
2013,INVERSION,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE PLANEACIÓN,355962638202.0,301,3,78.05,456070004102.4984
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL - AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA - COLOMBIA COMPRA EFICIENTE,8831000000.0,303,3,78.05,11314541960.281872
2013,INVERSION,UNIDAD ADMINISTRATIVA ESPECIAL - AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA - COLOMBIA COMPRA EFICIENTE,15500000000.0,303,3,78.05,19859064702.11403
2013,FUNCIONAMIENTO,SUPERINTENDENCIA DE SERVICIOS PÚBLICOS DOMICILIARIOS,61151162000.0,324,3,78.05,78348702114.02946
2013,INVERSION,SUPERINTENDENCIA DE SERVICIOS PÚBLICOS DOMICILIARIOS,24814400000.0,324,3,78.05,31792953235.1057
2013,FUNCIONAMIENTO,FONDO NACIONAL DE REGALÍAS EN LIQUIDACIÓN,3342000000.0,325,3,78.05,4281870595.771941
2013,INVERSION,FONDO NACIONAL DE REGALÍAS EN LIQUIDACIÓN,408265000000.0,325,3,78.05,523081358103.77966
2013,FUNCIONAMIENTO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),73805588071.0,401,4,78.05,94561932185.77835
2013,INVERSION,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),113181260052.0,401,4,78.05,145011223641.2556
2013,FUNCIONAMIENTO,FONDO ROTATORIO DEL DANE,1873400000.0,402,4,78.05,2400256245.996156
2013,INVERSION,FONDO ROTATORIO DEL DANE,9500000000.0,402,4,78.05,12171684817.424728
2013,FUNCIONAMIENTO,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI - IGAC,80240000000.0,403,4,78.05,102805893657.9116
2013,INVERSION,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI - IGAC,145396846425.0,403,4,78.05,186286798750.80078
2013,FUNCIONAMIENTO,DEPARTAMENTO ADMINISTRATIVO DE LA FUNCIÓN PÚBLICA,13632550000.0,501,5,78.05,17466431774.503525
2013,INVERSION,DEPARTAMENTO ADMINISTRATIVO DE LA FUNCIÓN PÚBLICA,5773000000.0,501,5,78.05,7396540679.05189
2013,FUNCIONAMIENTO,ESCUELA SUPERIOR DE ADMINISTRACIÓN PÚBLICA (ESAP) ,51383000000.0,503,5,78.05,65833440102.4984
2013,INVERSION,ESCUELA SUPERIOR DE ADMINISTRACIÓN PÚBLICA (ESAP) ,86215272000.0,503,5,78.05,110461591287.63614
2013,FUNCIONAMIENTO,DEPARTAMENTO ADMINISTRATIVO DE SEGURIDAD (DAS) EN SUPRESIÓN,74142862180.0,601,6,78.05,94994057885.97054
2013,FUNCIONAMIENTO,FONDO ROTATORIO DEL DEPARTAMENTO ADMINISTRATIVO DE SEGURIDAD,20991096000.0,602,6,78.05,26894421524.663677
2013,INVERSION,FONDO ROTATORIO DEL DEPARTAMENTO ADMINISTRATIVO DE SEGURIDAD,8536540820.0,602,6,78.05,10937272030.74952
2013,FUNCIONAMIENTO,MINISTERIO DE RELACIONES EXTERIORES,234237000000.0,1101,11,78.05,300111467008.328
2013,FUNCIONAMIENTO,FONDO ROTATORIO DEL MINISTERIO DE RELACIONES EXTERIORES,232440000000.0,1102,11,78.05,297809096732.8636
2013,INVERSION,FONDO ROTATORIO DEL MINISTERIO DE RELACIONES EXTERIORES,48255000000.0,1102,11,78.05,61825752722.61371
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL MIGRACIÓN COLOMBIA,70433000000.0,1104,11,78.05,90240871236.38693
2013,INVERSION,UNIDAD ADMINISTRATIVA ESPECIAL MIGRACIÓN COLOMBIA,13130000000.0,1104,11,78.05,16822549647.661757
2013,FUNCIONAMIENTO,MINISTERIO DE JUSTICIA Y DEL DERECHO,54680087196.0,1201,12,78.05,70057767067.26457
2013,INVERSION,MINISTERIO DE JUSTICIA Y DEL DERECHO,52369975978.0,1201,12,78.05,67097983315.8232
2013,FUNCIONAMIENTO,SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,374715717755.0,1204,12,78.05,480097011857.7835
2013,INVERSION,SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,355311000000.0,1204,12,78.05,455235105701.47345
2013,FUNCIONAMIENTO,INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO - INPEC,886834038549.0,1208,12,78.05,1136238358166.56
2013,INVERSION,INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO - INPEC,4430632570.0,1208,12,78.05,5676659282.511211
2013,FUNCIONAMIENTO,DIRECCIÓN NACIONAL DE ESTUPEFACIENTES EN LIQUIDACIÓN,231492057800.0,1209,12,78.05,296594564766.17554
2013,INVERSION,DIRECCIÓN NACIONAL DE ESTUPEFACIENTES EN LIQUIDACIÓN,59808000000.0,1209,12,78.05,76627802690.58296
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO,24839769682.0,1210,12,78.05,31825457632.286995
2013,INVERSION,UNIDAD ADMINISTRATIVA ESPECIAL AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO,1072000000.0,1210,12,78.05,1373478539.397822
2013,FUNCIONAMIENTO,UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS - USPEC,381636487014.0,1211,12,78.05,488964108922.4856
2013,INVERSION,UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS - USPEC,124900515028.0,1211,12,78.05,160026284468.93018
2013,FUNCIONAMIENTO,MINISTERIO DE HACIENDA Y CRÉDITO PÚBLICO,10196721395655.0,1301,13,78.05,13064345157789.879
2013,INVERSION,MINISTERIO DE HACIENDA Y CRÉDITO PÚBLICO,1281520325472.0,1301,13,78.05,1641922261975.6567
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL CONTADURÍA GENERAL DE LA NACIÓN,9968562438.0,1308,13,78.05,12772021060.858425
2013,INVERSION,UNIDAD ADMINISTRATIVA ESPECIAL CONTADURÍA GENERAL DE LA NACIÓN,8925290168.0,1308,13,78.05,11435349350.4164
2013,FUNCIONAMIENTO,SUPERINTENDENCIA DE LA ECONOMÍA SOLIDARIA,8003640406.0,1309,13,78.05,10254504043.56182
2013,INVERSION,SUPERINTENDENCIA DE LA ECONOMÍA SOLIDARIA,4041000000.0,1309,13,78.05,5177450352.338244
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL DIRECCIÓN DE IMPUESTOS Y ADUANAS NACIONALES,1003604100000.0,1310,13,78.05,1285847661755.2852
